id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN001,what kinda deals do u have on jeans?? need something cheap ASAP,"{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""repeat_customer"",""language_style"":""includes_typos""}",1,
SYN002,yo got any sales on denim rn?? tight budget lol,"{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""repeat_customer"",""language_style"":""includes_typos""}",1,
SYN003,cheapest jeans u got?? tryna save $$ this month,"{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""repeat_customer"",""language_style"":""includes_typos""}",1,
SYN004,any discount codes for jeans? broke student here 😭,"{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""repeat_customer"",""language_style"":""includes_typos""}",1,
SYN005,where r ur budget friendly jeans at cant spend much,"{""intent"":""technical_support"",""complexity"":""ambiguous"",""persona"":""repeat_customer"",""language_style"":""includes_typos""}",1,
SYN006,yo where are my sneakers?? ordered them 3 days ago and nothing 😡,"{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""formal""}",1,
SYN007,order #A78901 still not here wtf ive been waiting all week,"{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""formal""}",1,
SYN008,can u tell me why my shoes r taking so long to ship smh,"{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""formal""}",1,
SYN009,checking on my order #45892 its been foreverrr and im getting mad,"{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""formal""}",1,
SYN010,need my kicks ASAP!!! order confirmation said 2-day shipping but its been 5 days???,"{""intent"":""order_status_check"",""complexity"":""multi-turn"",""persona"":""new_customer"",""language_style"":""formal""}",1,
SYN011,looking for those jeans in blue everyone's been raving about lol 💙,"{""intent"":""product_inquiry"",""complexity"":""simple"",""persona"":""new_customer"",""language_style"":""formal""}",1,
SYN012,ughhh tired af - need some joggers for my home workouts that can arrive tmrw?,"{""intent"":""product_inquiry"",""complexity"":""simple"",""persona"":""new_customer"",""language_style"":""formal""}",1,
SYN013,sooo like can u tell me if u have those trendy blue jeans in my size,"{""intent"":""product_inquiry"",""complexity"":""simple"",""persona"":""new_customer"",""language_style"":""formal""}",1,
